Title,Link,keywords,publicationDate,authors,publication,abstract
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,['Growth'],2020-07-18,"['Dr. Jian Li', 'Dr. Robert Garcia']",Journal of Astrobiology,This research paper investigates root growth movements: waving and skewing.. Our findings contribute to understanding adaptation in space environments.
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,['Protein'],2020-03-02,['Dr. Robert Garcia'],Journal of Exobiology,This research paper investigates gravitropism and lateral root emergence are dependent on the trans-golgi network protein tno1. The results have implications for long-duration space missions.
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"['Arabidopsis', 'Protein']",2023-09-07,['Dr. Samuel Jones'],Radiation Research,"This research paper investigates tno1, a tgn-localized snare-interacting protein, modulates root skewing in arabidopsis thaliana.. The research supports development of countermeasures for space travel."
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,"['Drosophila', 'Rat', 'Protein']",2023-01-19,"['Dr. Lisa Park', 'Dr. Samuel Jones']",Radiation Research,This research paper investigates the drosophila sun protein spag4 cooperates with the coiled-coil protein yuri gagarin to maintain association of the basal body and spermatid nucleus.. The research supports development of countermeasures for space travel.
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,"['Drosophila', 'Spaceflight', 'Space']",2023-01-15,['Dr. David Kim'],Microgravity Science and Technology,This research paper investigates toll mediated infection response is altered by gravity and spaceflight in drosophila. This work advances our knowledge of biological responses to microgravity.
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,"['Mouse', 'Liver', 'Iss', 'Space']",2021-10-24,"['Dr. David Kim', 'Dr. Eva Rostova']",Space Medicine Review,This research paper investigates multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver. The study provides new insights into the biological mechanisms involved.
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,"['Radiation', 'Gene', 'Space']",2020-11-26,"['Dr. Lisa Park', 'Dr. Catherine Martinez', 'Dr. Michael Brown']",Journal of Exobiology,This research paper investigates genelab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of fyn through reactive oxygen species.. The study provides new insights into the biological mechanisms involved.
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,[],2020-05-13,"['Dr. Michael Brown', 'Dr. Maria Gonzalez', 'Dr. Lisa Park']",International Journal of Space Biology,This research paper investigates fairness and usability for open-access omics data systems.. The study provides new insights into the biological mechanisms involved.
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,"['Radiation', 'Gene', 'Space']",2020-08-03,"['Dr. Sofia Rossi', 'Dr. Kenji Tanaka', 'Dr. Elena Petrov']",Aerospace Medicine and Human Performance,This research paper investigates nasa genelab platform utilized for biological response to space radiation in animal models. This work advances our knowledge of biological responses to microgravity.
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,"['Spaceflight', 'Development', 'Space']",2021-11-21,"['Dr. Maria Gonzalez', 'Dr. Jian Li', 'Dr. James Rodriguez', 'Dr. Ben Carter']",Aerospace Medicine and Human Performance,This research paper investigates circulating mirna spaceflight signature reveals targets for countermeasure development. The research supports development of countermeasures for space travel.
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,"['International Space Station', 'Space']",2024-11-04,"['Dr. Richard Chen', 'Dr. Jennifer Lee', 'Dr. Ben Carter']",Journal of Exobiology,This research paper investigates machine learning algorithm to characterize antimicrobial resistance associated with the international space station surface microbiome. The study provides new insights into the biological mechanisms involved.
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,"['Rat', 'Spaceflight', 'Astronaut', 'Space']",2020-04-25,"['Dr. Thomas Anderson', 'Dr. Jian Li', 'Dr. Sofia Rossi', 'Dr. David Kim']",Journal of Exobiology,This research paper investigates extraterrestrial gynecology: could spaceflight increase the risk of developing cancer in female astronauts? an updated review. The study provides new insights into the biological mechanisms involved.
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,"['Muscle', 'Mice', 'Space', 'Gene', 'Liver', 'Spaceflight']",2021-09-03,['Dr. Maria Gonzalez'],Journal of Astrobiology,This research paper investigates muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.. The results have implications for long-duration space missions.
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,"['Gene', 'Cosmic', 'Dna', 'Radiation']",2022-03-14,"['Dr. Amanda Taylor', 'Dr. Elena Petrov']",Space Medicine Review,This research paper investigates chromosomal positioning and epigenetic architecture influence dna methylation patterns triggered by galactic cosmic radiation. The results have implications for long-duration space missions.
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,['Cell'],2022-04-05,['Dr. Richard Chen'],Space Life Sciences,"This research paper investigates a comprehensive sars-cov-2 and covid-19 review, part 2: host extracellular to systemic effects of sars-cov-2 infection. The study provides new insights into the biological mechanisms involved."
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,"['Aging', 'Spaceflight', 'Space']",2020-01-10,"['Dr. Amanda Taylor', 'Dr. Michael Brown', 'Dr. Elena Petrov', 'Dr. Samuel Jones']",Radiation Research,This research paper investigates aging and putative frailty biomarkers are altered by spaceflight. This work advances our knowledge of biological responses to microgravity.
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,"['Radiation', 'Spaceflight', 'Space']",2020-07-11,"['Dr. Sofia Rossi', 'Dr. David Kim', 'Dr. Richard Chen', 'Dr. Kenji Tanaka']",Journal of Astrobiology,This research paper investigates space radiation damage rescued by inhibition of key spaceflight associated mirnas. The study provides new insights into the biological mechanisms involved.
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,"['Rat', 'Space']",2023-05-24,"['Dr. Richard Chen', 'Dr. Eva Rostova']",Journal of Astrobiology,This research paper investigates ethical considerations for the age of non-governmental space exploration. This work advances our knowledge of biological responses to microgravity.
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,"['Immune', 'Drosophila', 'Spaceflight', 'Space']",2023-06-10,"['Dr. Amanda Taylor', 'Dr. Samuel Jones', 'Dr. Thomas Anderson']",Gravitational and Space Research,This research paper investigates innate immune responses of drosophila melanogaster are altered by spaceflight.. Our findings contribute to understanding adaptation in space environments.
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,"['Drosophila', 'Microgravity', 'Cardiac']",2024-03-23,"['Dr. David Kim', 'Dr. Samuel Jones', 'Dr. James Rodriguez']",Aerospace Medicine and Human Performance,This research paper investigates prolonged exposure to microgravity reduces cardiac contractility and initiates remodeling in drosophila. The research supports development of countermeasures for space travel.
Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,[],2022-05-26,"['Dr. David Kim', 'Dr. Jian Li', 'Dr. Ben Carter']",Microgravity Science and Technology,This research paper investigates regulation of plant gravity sensing and signaling by the actin cytoskeleton.. The results have implications for long-duration space missions.
HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,"['Arabidopsis', 'Rat', 'Protein']",2024-12-14,"['Dr. Elena Petrov', 'Dr. Samuel Jones', 'Dr. David Kim']",Space Life Sciences,This research paper investigates hlb1 is a tetratricopeptide repeat domain-containing protein that operates at the intersection of the exocytic and endocytic pathways at the tgn/ee in arabidopsis. The results have implications for long-duration space missions.
ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,['Growth'],2021-08-15,"['Dr. Robert Garcia', 'Dr. Amanda Taylor', 'Dr. Aisha Khan', 'Dr. James Rodriguez']",Space Medicine Review,This research paper investigates erulus is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.. The results have implications for long-duration space missions.
Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,['Organ'],2024-10-12,"['Dr. Kenji Tanaka', 'Dr. Sofia Rossi', 'Dr. Samuel Jones']",International Journal of Space Biology,This research paper investigates brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.. Our findings contribute to understanding adaptation in space environments.
Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,"['Aging', 'Arabidopsis', 'Cell']",2021-05-30,['Dr. David Kim'],Space Medicine Review,This research paper investigates cell type-specific imaging of calcium signaling in arabidopsis thaliana seedling roots using gcamp3.. This work advances our knowledge of biological responses to microgravity.
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,"['Development', 'Protein']",2023-08-02,"['Dr. Jennifer Lee', 'Dr. Eva Rostova', 'Dr. Ben Carter', 'Dr. Lisa Park']",Space Medicine Review,This research paper investigates spatial and temporal localization of spirrig and wave/scar reveal roles for these proteins in actin-mediated root hair development.. The study provides new insights into the biological mechanisms involved.
Microgravity Stress: Bone and Connective Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,"['Stress', 'Iss', 'Bone', 'Microgravity', 'Tissue']",2020-08-16,"['Dr. Samuel Jones', 'Dr. Eva Rostova', 'Dr. Sarah Wilson']",Space Medicine Review,This research paper investigates microgravity stress: bone and connective tissue. Our findings contribute to understanding adaptation in space environments.
S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,['Protein'],2022-04-21,['Dr. Jian Li'],Aerospace Medicine and Human Performance,This research paper investigates s. aureus mscl is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins. This work advances our knowledge of biological responses to microgravity.
Manipulating the permeation of charged compounds through the MscL nanovalve.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,[],2022-04-21,"['Dr. Lisa Park', 'Dr. Amanda Taylor']",Journal of Exobiology,This research paper investigates manipulating the permeation of charged compounds through the mscl nanovalve.. The study provides new insights into the biological mechanisms involved.
The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,[],2023-01-07,"['Dr. Robert Garcia', 'Dr. Lisa Park', 'Dr. Richard Chen', 'Dr. Maria Gonzalez']",Aerospace Medicine and Human Performance,This research paper investigates the oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.. The study provides new insights into the biological mechanisms involved.
Three routes to modulate the pore size of the MscL channel/nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,[],2023-03-16,"['Dr. Sarah Wilson', 'Dr. Kenji Tanaka', 'Dr. Thomas Anderson', 'Dr. Michael Brown']",Journal of Exobiology,This research paper investigates three routes to modulate the pore size of the mscl channel/nanovalve. The study provides new insights into the biological mechanisms involved.
The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,['Protein'],2022-10-27,"['Dr. Sofia Rossi', 'Dr. Elena Petrov', 'Dr. Michael Brown', 'Dr. Amanda Taylor']",Journal of Astrobiology,This research paper investigates the dynamics of protein-protein interactions between domains of mscl at the cytoplasmic-lipid interface. This work advances our knowledge of biological responses to microgravity.
The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,[],2022-01-15,"['Dr. James Rodriguez', 'Dr. Jian Li', 'Dr. Michael Brown', 'Dr. Maria Gonzalez']",Journal of Exobiology,This research paper investigates the mscs and mscl families of mechanosensitive channels act as microbial emergency release valves. Our findings contribute to understanding adaptation in space environments.
Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,[],2022-10-12,['Dr. Jennifer Lee'],Journal of Astrobiology,This research paper investigates chimeras reveal a single lipid-interface residue that controls mscl channel kinetics as well as mechanosensitivity. The results have implications for long-duration space missions.
Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,['Gene'],2021-10-17,"['Dr. Samuel Jones', 'Dr. Amanda Taylor', 'Dr. David Kim', 'Dr. Jennifer Lee']",Space Life Sciences,This research paper investigates evidence for extensive horizontal gene transfer from the draft genome of a tardigrade. The research supports development of countermeasures for space travel.
Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,['Gene'],2020-03-17,"['Dr. Ben Carter', 'Dr. Lisa Park', 'Dr. Richard Chen', 'Dr. Jennifer Lee']",Gravitational and Space Research,This research paper investigates reply to bemm et al. and arakawa: identifying foreign genes in independent hypsibius dujardini genome assemblies. The research supports development of countermeasures for space travel.
Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,['Protein'],2023-07-17,['Dr. Ben Carter'],Space Life Sciences,This research paper investigates tardigrades use intrinsically disordered proteins to survive desiccation.. The results have implications for long-duration space missions.
Desiccation of Hypsibius exemplaris,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/,[],2023-06-15,"['Dr. Sofia Rossi', 'Dr. Eva Rostova', 'Dr. Catherine Martinez', 'Dr. Jennifer Lee']",Space Life Sciences,This research paper investigates desiccation of hypsibius exemplaris. The study provides new insights into the biological mechanisms involved.
The biology of tardigrade disordered proteins in extreme stress tolerance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/,"['Stress', 'Protein']",2024-07-17,"['Dr. Maria Gonzalez', 'Dr. Robert Garcia', 'Dr. Jennifer Lee']",Journal of Astrobiology,This research paper investigates the biology of tardigrade disordered proteins in extreme stress tolerance.. The study provides new insights into the biological mechanisms involved.
Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,[],2023-05-28,"['Dr. Jennifer Lee', 'Dr. Sofia Rossi', 'Dr. Maria Gonzalez']",Space Life Sciences,This research paper investigates production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade paramacrobiotus spatialis. The results have implications for long-duration space missions.
Partial weight suspension: A novel murine model for investigating adaptation to reduced musculoskeletal loading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/,['Adaptation'],2023-01-17,"['Dr. Jennifer Lee', 'Dr. Samuel Jones']",Space Medicine Review,This research paper investigates partial weight suspension: a novel murine model for investigating adaptation to reduced musculoskeletal loading.. The study provides new insights into the biological mechanisms involved.
"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,"['Muscle', 'Bone']",2021-02-25,['Dr. Aisha Khan'],Space Medicine Review,"This research paper investigates partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass. The results have implications for long-duration space missions."
Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,"['Mouse', 'Muscle', 'Spaceflight', 'Space']",2022-05-30,"['Dr. Aisha Khan', 'Dr. Jennifer Lee', 'Dr. David Kim', 'Dr. Kenji Tanaka']",Journal of Astrobiology,This research paper investigates spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle. The results have implications for long-duration space missions.
Spaceflight Activates Lipotoxic Pathways in Mouse Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,"['Mouse', 'Liver', 'Spaceflight', 'Space']",2024-07-27,"['Dr. Eva Rostova', 'Dr. Thomas Anderson', 'Dr. Sarah Wilson']",International Journal of Space Biology,This research paper investigates spaceflight activates lipotoxic pathways in mouse liver. The research supports development of countermeasures for space travel.
Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,"['Mice', 'Gene', 'Bone', 'Protein']",2021-05-06,"['Dr. Kenji Tanaka', 'Dr. Jian Li']",Radiation Research,This research paper investigates treatment with a soluble bone morphogenetic protein type 1a receptor (bmpr1a) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.. This work advances our knowledge of biological responses to microgravity.
RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,"['Mice', 'Gene', 'Bone']",2023-12-18,"['Dr. Maria Gonzalez', 'Dr. Sarah Wilson', 'Dr. Sofia Rossi']",International Journal of Space Biology,This research paper investigates rnaseq and rna molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice. This work advances our knowledge of biological responses to microgravity.
Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,"['Radiation', 'Tissue', 'Iss', 'Space']",2020-07-21,"['Dr. Kenji Tanaka', 'Dr. Ben Carter']",Gravitational and Space Research,This research paper investigates proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation. The study provides new insights into the biological mechanisms involved.
Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,"['Adaptation', 'Spaceflight', 'Space']",2020-10-16,['Dr. Elena Petrov'],Aerospace Medicine and Human Performance,This research paper investigates adaptive changes in the vestibular system of land snail to a 30-day spaceflight and readaptation on return to earth. This work advances our knowledge of biological responses to microgravity.
"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,['Organ'],2023-03-31,"['Dr. David Kim', 'Dr. Michael Brown', 'Dr. Jian Li']",Space Life Sciences,"This research paper investigates morphology of the utricular otolith organ in the toadfish, opsanus tau. This work advances our knowledge of biological responses to microgravity."
"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,"['Adaptation', 'Rat']",2022-02-11,['Dr. Samuel Jones'],Gravitational and Space Research,"This research paper investigates influence of magnitude and duration of altered gravity and readaptation to 1g on the structure and function of the utricle in toadfish, opsanus tau.. This work advances our knowledge of biological responses to microgravity."
Organization of the ER-Golgi interface for membrane traffic control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,['Organ'],2022-09-05,"['Dr. Robert Garcia', 'Dr. Lisa Park']",Aerospace Medicine and Human Performance,This research paper investigates organization of the er-golgi interface for membrane traffic control.. The results have implications for long-duration space missions.
IRE1: ER stress sensor and cell fate executor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,"['Cell', 'Stress']",2024-07-09,"['Dr. Lisa Park', 'Dr. Ben Carter', 'Dr. Jennifer Lee', 'Dr. James Rodriguez']",Aerospace Medicine and Human Performance,This research paper investigates ire1: er stress sensor and cell fate executor.. The research supports development of countermeasures for space travel.
Inter-regulation of the unfolded protein response and auxin signaling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,['Protein'],2023-08-20,"['Dr. Eva Rostova', 'Dr. David Kim', 'Dr. Thomas Anderson', 'Dr. Elena Petrov']",Life Support & Space Habitation,This research paper investigates inter-regulation of the unfolded protein response and auxin signaling.. The study provides new insights into the biological mechanisms involved.
Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,['Stress'],2022-06-09,"['Dr. David Kim', 'Dr. Ben Carter', 'Dr. Amanda Taylor']",Radiation Research,This research paper investigates endoplasmic reticulum-shape and function in stress translation. Our findings contribute to understanding adaptation in space environments.
